Champion,WinRate(%),BanRate(%),PickRate(%)
Vayne,53.2,10.4,11.9
Jhin,52.3,1.8,15.0
Jinx,51.9,2.4,14.0
Ezreal,51.5,9.9,22.6
Caitlyn,50.7,13.6,16.9
Kai'Sa,48.5,6.6,20.9
Miss Fortune,53.0,1.6,8.4
Twitch,52.6,4.0,5.1
Ashe,52.1,6.9,10.4
Draven,50.9,16.5,6.1
Samira,50.8,18.3,7.6
Varus,50.1,1.2,9.7
Xayah,49.7,4.4,9.9
Seraphine,54.6,0.7,1.0
Kog'Maw,52.6,0.3,1.3
Nilah,51.9,4.9,2.2
Ziggs,51.9,9.1,3.6
Yasuo,51.5,18.7,1.4
Sivir,51.1,1.1,4.1
Tristana,50.9,1.6,4.1
Lucian,49.9,0.6,5.9
Kalista,49.7,2.4,4.3
Aphelios,47.9,1.1,6.5
Zeri,47.0,0.5,2.3
